symbol,name,exchange,type
FTV,Fortive Corporation,New York Stock Exchange,stock
CSV,Carriage Services  Inc.,New York Stock Exchange,stock
DAVA,Endava plc,New York Stock Exchange,stock
HAFN,Hafnia Limited,New York Stock Exchange,stock
SFL,SFL Corporation Ltd.,New York Stock Exchange,stock
DAC,Danaos Corporation,New York Stock Exchange,stock
FF,FutureFuel Corp.,New York Stock Exchange,stock
CMP,Compass Minerals International  Inc.,New York Stock Exchange,stock
EMKR,EMCORE Corporation,NASDAQ Global Market,stock
MWA,Mueller Water Products  Inc.,New York Stock Exchange,stock
ENFY,Enlightify Inc.,New York Stock Exchange,stock
EPIX,ESSA Pharma Inc.,NASDAQ Capital Market,stock
RYN,Rayonier Inc.,New York Stock Exchange,stock
DDS,Dillard's  Inc.,New York Stock Exchange,stock
CNP,CenterPoint Energy  Inc.,New York Stock Exchange,stock
EHC,Encompass Health Corporation,New York Stock Exchange,stock
IP,International Paper Company,New York Stock Exchange,stock
AHR,American Healthcare REIT  Inc.,New York Stock Exchange,stock
SHIP,Seanergy Maritime Holdings Corp.,NASDAQ Capital Market,stock
CVS,CVS Health Corporation,New York Stock Exchange,stock
FCN,FTI Consulting  Inc.,New York Stock Exchange,stock
MSTR,MicroStrategy Incorporated,NASDAQ Global Select,stock
PKE,Park Aerospace Corp.,New York Stock Exchange,stock
DRI,Darden Restaurants  Inc.,New York Stock Exchange,stock
EGO,Eldorado Gold Corporation,New York Stock Exchange,stock
IPSC,Century Therapeutics  Inc.,NASDAQ Global Select,stock
AMP,Ameriprise Financial  Inc.,New York Stock Exchange,stock
LPX,Louisiana-Pacific Corporation,New York Stock Exchange,stock
TGLS,Tecnoglass Inc.,New York Stock Exchange,stock
ELUT,Elutia Inc.,NASDAQ Capital Market,stock
FULT,Fulton Financial Corporation,NASDAQ Global Select,stock
EFC,Ellington Financial Inc.,New York Stock Exchange,stock
ENVB,Enveric Biosciences  Inc.,NASDAQ Capital Market,stock
FLS,Flowserve Corporation,New York Stock Exchange,stock
FPI,Farmland Partners Inc.,New York Stock Exchange,stock
NET,Cloudflare  Inc.,New York Stock Exchange,stock
NVST,Envista Holdings Corp,New York Stock Exchange,stock
SKLZ,Skillz Inc.,New York Stock Exchange,stock
LVS,Las Vegas Sands Corp.,New York Stock Exchange,stock
PSTG,Pure Storage  Inc.,New York Stock Exchange,stock
ELF,e.l.f. Beauty  Inc.,New York Stock Exchange,stock
FMX,Fomento Económico Mexicano  S.A.B. de C.V.,New York Stock Exchange,stock
J,Jacobs Engineering Group Inc.,New York Stock Exchange,stock
MGRE,Affiliated Managers Group  Inc.,New York Stock Exchange,stock
SBH,Sally Beauty Holdings  Inc.,New York Stock Exchange,stock
FE,FirstEnergy Corp.,New York Stock Exchange,stock
RITM,Rithm Capital Corp.,New York Stock Exchange,stock
UAA,Under Armour  Inc.,New York Stock Exchange,stock
FOUR,Shift4 Payments  Inc.,New York Stock Exchange,stock
SSD,Simpson Manufacturing Co.  Inc.,New York Stock Exchange,stock
RCS,PIMCO Strategic Income Fund  Inc.,New York Stock Exchange,stock
OLO,Olo Inc.,New York Stock Exchange,stock
GFF,Griffon Corporation,New York Stock Exchange,stock
CCRN,Cross Country Healthcare  Inc.,NASDAQ Global Select,stock
MTB,M&T Bank Corporation,New York Stock Exchange,stock
AVO,Mission Produce  Inc.,NASDAQ Global Select,stock
EFOI,Energy Focus  Inc.,NASDAQ Capital Market,stock
NTST,NETSTREIT Corp.,New York Stock Exchange,stock
AKYA,Akoya Biosciences  Inc.,NASDAQ Global Select,stock
ALG,Alamo Group Inc.,New York Stock Exchange,stock
